X Y Z
0 1.5e+11 0
-4.99948e+06 1.49995e+11 0
-9.9979e+06 1.4999e+11 0
-1.49953e+07 1.49985e+11 0
-1.99916e+07 1.4998e+11 0
-2.49869e+07 1.49975e+11 0
-2.99811e+07 1.4997e+11 0
-3.49743e+07 1.49965e+11 0
-3.99664e+07 1.4996e+11 0
-4.49575e+07 1.49955e+11 0
-4.99475e+07 1.4995e+11 0
-5.49364e+07 1.49945e+11 0
-5.99244e+07 1.49939e+11 0
-6.49112e+07 1.49934e+11 0
-6.9897e+07 1.49929e+11 0
-7.48817e+07 1.49924e+11 0
-7.98654e+07 1.49919e+11 0
-8.4848e+07 1.49914e+11 0
-8.98296e+07 1.49909e+11 0
-9.48101e+07 1.49904e+11 0
-9.97896e+07 1.49899e+11 0
-1.04768e+08 1.49893e+11 0
-1.09745e+08 1.49888e+11 0
-1.14722e+08 1.49883e+11 0
-1.19697e+08 1.49878e+11 0
-1.24671e+08 1.49873e+11 0
-1.29644e+08 1.49868e+11 0
-1.34616e+08 1.49862e+11 0
-1.39587e+08 1.49857e+11 0
-1.44557e+08 1.49852e+11 0
-1.49526e+08 1.49847e+11 0
-1.54493e+08 1.49842e+11 0
-1.5946e+08 1.49836e+11 0
-1.64426e+08 1.49831e+11 0
-1.6939e+08 1.49826e+11 0
-1.74354e+08 1.49821e+11 0
-1.79316e+08 1.49815e+11 0
-1.84278e+08 1.4981e+11 0
-1.89238e+08 1.49805e+11 0
-1.94197e+08 1.498e+11 0
-1.99155e+08 1.49794e+11 0
-2.04112e+08 1.49789e+11 0
-2.09068e+08 1.49784e+11 0
-2.14023e+08 1.49779e+11 0
-2.18977e+08 1.49773e+11 0
-2.2393e+08 1.49768e+11 0
-2.28882e+08 1.49763e+11 0
-2.33832e+08 1.49757e+11 0
-2.38782e+08 1.49752e+11 0
-2.43731e+08 1.49747e+11 0
-2.48678e+08 1.49741e+11 0
-2.53624e+08 1.49736e+11 0
-2.5857e+08 1.49731e+11 0
-2.63514e+08 1.49725e+11 0
-2.68457e+08 1.4972e+11 0
-2.73399e+08 1.49714e+11 0
-2.7834e+08 1.49709e+11 0
-2.8328e+08 1.49704e+11 0
-2.88219e+08 1.49698e+11 0
-2.93156e+08 1.49693e+11 0
-2.98093e+08 1.49687e+11 0
-3.03028e+08 1.49682e+11 0
-3.07963e+08 1.49677e+11 0
-3.12896e+08 1.49671e+11 0
-3.17829e+08 1.49666e+11 0
-3.2276e+08 1.4966e+11 0
-3.2769e+08 1.49655e+11 0
-3.32619e+08 1.49649e+11 0
-3.37547e+08 1.49644e+11 0
-3.42474e+08 1.49638e+11 0
-3.474e+08 1.49633e+11 0
-3.52324e+08 1.49627e+11 0
-3.57248e+08 1.49622e+11 0
-3.62171e+08 1.49616e+11 0
-3.67092e+08 1.49611e+11 0
-3.72012e+08 1.49605e+11 0
-3.76932e+08 1.496e+11 0
-3.8185e+08 1.49594e+11 0
-3.86767e+08 1.49589e+11 0
-3.91683e+08 1.49583e+11 0
-3.96598e+08 1.49578e+11 0
-4.01512e+08 1.49572e+11 0
-4.06424e+08 1.49566e+11 0
-4.11336e+08 1.49561e+11 0
-4.16246e+08 1.49555e+11 0
-4.21156e+08 1.4955e+11 0
-4.26064e+08 1.49544e+11 0
-4.30971e+08 1.49539e+11 0
-4.35877e+08 1.49533e+11 0
-4.40782e+08 1.49527e+11 0
-4.45686e+08 1.49522e+11 0
-4.50589e+08 1.49516e+11 0
-4.55491e+08 1.4951e+11 0
-4.60392e+08 1.49505e+11 0
-4.65291e+08 1.49499e+11 0
-4.7019e+08 1.49493e+11 0
-4.75087e+08 1.49488e+11 0
-4.79983e+08 1.49482e+11 0
-4.84878e+08 1.49476e+11 0
-4.89772e+08 1.49471e+11 0
-4.94665e+08 1.49465e+11 0
-4.99557e+08 1.49459e+11 0
-5.04448e+08 1.49454e+11 0
-5.09337e+08 1.49448e+11 0
-5.14226e+08 1.49442e+11 0
-5.19113e+08 1.49436e+11 0
-5.24e+08 1.49431e+11 0
-5.28885e+08 1.49425e+11 0
-5.33769e+08 1.49419e+11 0
-5.38652e+08 1.49413e+11 0
