X Y Z
0 1.5e+11 0
-1.99995e+07 1.4998e+11 0
-3.99979e+07 1.4996e+11 0
-5.99953e+07 1.4994e+11 0
-7.99916e+07 1.4992e+11 0
-9.99869e+07 1.499e+11 0
-1.19981e+08 1.4988e+11 0
-1.39974e+08 1.4986e+11 0
-1.59966e+08 1.4984e+11 0
-1.79957e+08 1.4982e+11 0
-1.99947e+08 1.498e+11 0
-2.19936e+08 1.4978e+11 0
-2.39924e+08 1.49759e+11 0
-2.59911e+08 1.49739e+11 0
-2.79897e+08 1.49719e+11 0
-2.99881e+08 1.49699e+11 0
-3.19865e+08 1.49679e+11 0
-3.39848e+08 1.49659e+11 0
-3.59829e+08 1.49639e+11 0
-3.79809e+08 1.49619e+11 0
-3.99789e+08 1.49599e+11 0
-4.19767e+08 1.49578e+11 0
-4.39744e+08 1.49558e+11 0
-4.5972e+08 1.49538e+11 0
-4.79695e+08 1.49518e+11 0
-4.99669e+08 1.49498e+11 0
-5.19642e+08 1.49478e+11 0
-5.39614e+08 1.49457e+11 0
-5.59585e+08 1.49437e+11 0
-5.79554e+08 1.49417e+11 0
-5.99523e+08 1.49397e+11 0
-6.1949e+08 1.49377e+11 0
-6.39457e+08 1.49356e+11 0
-6.59422e+08 1.49336e+11 0
-6.79386e+08 1.49316e+11 0
-6.99349e+08 1.49296e+11 0
-7.19311e+08 1.49275e+11 0
-7.39272e+08 1.49255e+11 0
-7.59232e+08 1.49235e+11 0
-7.79191e+08 1.49215e+11 0
-7.99148e+08 1.49194e+11 0
-8.19105e+08 1.49174e+11 0
-8.3906e+08 1.49154e+11 0
-8.59014e+08 1.49134e+11 0
-8.78968e+08 1.49113e+11 0
-8.9892e+08 1.49093e+11 0
-9.18871e+08 1.49073e+11 0
-9.38821e+08 1.49052e+11 0
-9.58769e+08 1.49032e+11 0
-9.78717e+08 1.49012e+11 0
-9.98664e+08 1.48991e+11 0
-1.01861e+09 1.48971e+11 0
-1.03855e+09 1.48951e+11 0
