X Y Z
0 1.5e+11 0
-2.99995e+07 1.4997e+11 0
-5.99979e+07 1.4994e+11 0
-8.99953e+07 1.4991e+11 0
-1.19992e+08 1.4988e+11 0
-1.49987e+08 1.4985e+11 0
-1.79981e+08 1.4982e+11 0
-2.09974e+08 1.4979e+11 0
-2.39966e+08 1.4976e+11 0
-2.69957e+08 1.4973e+11 0
-2.99947e+08 1.497e+11 0
-3.29936e+08 1.4967e+11 0
-3.59924e+08 1.49639e+11 0
-3.89911e+08 1.49609e+11 0
-4.19897e+08 1.49579e+11 0
-4.49881e+08 1.49549e+11 0
-4.79865e+08 1.49519e+11 0
-5.09847e+08 1.49489e+11 0
-5.39829e+08 1.49459e+11 0
-5.69809e+08 1.49429e+11 0
-5.99788e+08 1.49399e+11 0
-6.29766e+08 1.49368e+11 0
-6.59743e+08 1.49338e+11 0
-6.89719e+08 1.49308e+11 0
-7.19694e+08 1.49278e+11 0
-7.49668e+08 1.49248e+11 0
-7.79641e+08 1.49218e+11 0
-8.09612e+08 1.49187e+11 0
-8.39583e+08 1.49157e+11 0
-8.69552e+08 1.49127e+11 0
-8.99521e+08 1.49097e+11 0
-9.29488e+08 1.49067e+11 0
-9.59454e+08 1.49036e+11 0
-9.89419e+08 1.49006e+11 0
-1.01938e+09 1.48976e+11 0
-1.04935e+09 1.48946e+11 0
-1.07931e+09 1.48915e+11 0
-1.10927e+09 1.48885e+11 0
-1.13923e+09 1.48855e+11 0
-1.16919e+09 1.48825e+11 0
-1.19914e+09 1.48794e+11 0
-1.2291e+09 1.48764e+11 0
-1.25905e+09 1.48734e+11 0
-1.28901e+09 1.48704e+11 0
-1.31896e+09 1.48673e+11 0
-1.34891e+09 1.48643e+11 0
-1.37886e+09 1.48613e+11 0
-1.40881e+09 1.48582e+11 0
-1.43876e+09 1.48552e+11 0
-1.46871e+09 1.48522e+11 0
-1.49865e+09 1.48491e+11 0
-1.5286e+09 1.48461e+11 0
-1.55854e+09 1.48431e+11 0
-1.58849e+09 1.484e+11 0
-1.61843e+09 1.4837e+11 0
-1.64837e+09 1.48339e+11 0
-1.67831e+09 1.48309e+11 0
-1.70824e+09 1.48279e+11 0
-1.73818e+09 1.48248e+11 0
-1.76812e+09 1.48218e+11 0
-1.79805e+09 1.48187e+11 0
-1.82798e+09 1.48157e+11 0
-1.85792e+09 1.48126e+11 0
-1.88785e+09 1.48096e+11 0
-1.91778e+09 1.48066e+11 0
-1.94771e+09 1.48035e+11 0
-1.97763e+09 1.48005e+11 0
-2.00756e+09 1.47974e+11 0
-2.03749e+09 1.47944e+11 0
-2.06741e+09 1.47913e+11 0
-2.09733e+09 1.47883e+11 0
-2.12726e+09 1.47852e+11 0
-2.15718e+09 1.47822e+11 0
-2.1871e+09 1.47791e+11 0
-2.21701e+09 1.47761e+11 0
-2.24693e+09 1.4773e+11 0
-2.27685e+09 1.477e+11 0
-2.30676e+09 1.47669e+11 0
-2.33667e+09 1.47639e+11 0
-2.36659e+09 1.47608e+11 0
-2.3965e+09 1.47577e+11 0
-2.42641e+09 1.47547e+11 0
-2.45632e+09 1.47516e+11 0
-2.48622e+09 1.47486e+11 0
-2.51613e+09 1.47455e+11 0
-2.54604e+09 1.47425e+11 0
-2.57594e+09 1.47394e+11 0
-2.60584e+09 1.47363e+11 0
-2.63574e+09 1.47333e+11 0
-2.66564e+09 1.47302e+11 0
-2.69554e+09 1.47271e+11 0
-2.72544e+09 1.47241e+11 0
-2.75534e+09 1.4721e+11 0
-2.78523e+09 1.4718e+11 0
-2.81513e+09 1.47149e+11 0
-2.84502e+09 1.47118e+11 0
-2.87491e+09 1.47087e+11 0
-2.9048e+09 1.47057e+11 0
-2.93469e+09 1.47026e+11 0
-2.96458e+09 1.46995e+11 0
-2.99447e+09 1.46965e+11 0
-3.02435e+09 1.46934e+11 0
-3.05424e+09 1.46903e+11 0
-3.08412e+09 1.46873e+11 0
-3.114e+09 1.46842e+11 0
-3.14389e+09 1.46811e+11 0
-3.17377e+09 1.4678e+11 0
-3.20364e+09 1.4675e+11 0
-3.23352e+09 1.46719e+11 0
-3.2634e+09 1.46688e+11 0
-3.29327e+09 1.46657e+11 0
-3.32314e+09 1.46626e+11 0
-3.35302e+09 1.46596e+11 0
-3.38289e+09 1.46565e+11 0
-3.41276e+09 1.46534e+11 0
-3.44263e+09 1.46503e+11 0
-3.47249e+09 1.46472e+11 0
-3.50236e+09 1.46442e+11 0
-3.53222e+09 1.46411e+11 0
-3.56209e+09 1.4638e+11 0
-3.59195e+09 1.46349e+11 0
-3.62181e+09 1.46318e+11 0
-3.65167e+09 1.46287e+11 0
-3.68153e+09 1.46256e+11 0
-3.71138e+09 1.46226e+11 0
-3.74124e+09 1.46195e+11 0
-3.77109e+09 1.46164e+11 0
-3.80095e+09 1.46133e+11 0
-3.8308e+09 1.46102e+11 0
-3.86065e+09 1.46071e+11 0
-3.8905e+09 1.4604e+11 0
-3.92035e+09 1.46009e+11 0
-3.9502e+09 1.45978e+11 0
-3.98004e+09 1.45947e+11 0
-4.00988e+09 1.45916e+11 0
-4.03973e+09 1.45885e+11 0
-4.06957e+09 1.45854e+11 0
-4.09941e+09 1.45824e+11 0
-4.12925e+09 1.45793e+11 0
-4.15909e+09 1.45762e+11 0
-4.18892e+09 1.45731e+11 0
