X Y Z
0 -2e+11 0
3.00003e+07 -1.9997e+11 0
6.00013e+07 -1.9994e+11 0
9.00029e+07 -1.9991e+11 0
1.20005e+08 -1.9988e+11 0
1.50008e+08 -1.9985e+11 0
1.80012e+08 -1.9982e+11 0
2.10016e+08 -1.9979e+11 0
2.4002e+08 -1.9976e+11 0
2.70026e+08 -1.9973e+11 0
3.00032e+08 -1.997e+11 0
3.30039e+08 -1.9967e+11 0
3.60046e+08 -1.9964e+11 0
3.90054e+08 -1.9961e+11 0
4.20063e+08 -1.9958e+11 0
4.50072e+08 -1.9955e+11 0
4.80082e+08 -1.99519e+11 0
5.10092e+08 -1.99489e+11 0
5.40103e+08 -1.99459e+11 0
5.70115e+08 -1.99429e+11 0
6.00128e+08 -1.99399e+11 0
6.30141e+08 -1.99369e+11 0
6.60154e+08 -1.99339e+11 0
6.90169e+08 -1.99309e+11 0
7.20183e+08 -1.99279e+11 0
7.50199e+08 -1.99249e+11 0
7.80215e+08 -1.99219e+11 0
8.10232e+08 -1.99188e+11 0
8.40249e+08 -1.99158e+11 0
8.70268e+08 -1.99128e+11 0
9.00286e+08 -1.99098e+11 0
9.30306e+08 -1.99068e+11 0
9.60325e+08 -1.99038e+11 0
9.90346e+08 -1.99008e+11 0
1.02037e+09 -1.98978e+11 0
1.05039e+09 -1.98947e+11 0
1.08041e+09 -1.98917e+11 0
1.11043e+09 -1.98887e+11 0
1.14046e+09 -1.98857e+11 0
1.17048e+09 -1.98827e+11 0
1.20051e+09 -1.98797e+11 0
1.23053e+09 -1.98766e+11 0
1.26056e+09 -1.98736e+11 0
1.29059e+09 -1.98706e+11 0
1.32061e+09 -1.98676e+11 0
1.35064e+09 -1.98646e+11 0
1.38067e+09 -1.98616e+11 0
1.4107e+09 -1.98585e+11 0
1.44073e+09 -1.98555e+11 0
1.47076e+09 -1.98525e+11 0
1.50079e+09 -1.98495e+11 0
1.53082e+09 -1.98465e+11 0
1.56085e+09 -1.98434e+11 0
1.59089e+09 -1.98404e+11 0
1.62092e+09 -1.98374e+11 0
1.65096e+09 -1.98344e+11 0
1.68099e+09 -1.98313e+11 0
1.71103e+09 -1.98283e+11 0
1.74106e+09 -1.98253e+11 0
1.7711e+09 -1.98223e+11 0
1.80114e+09 -1.98192e+11 0
1.83117e+09 -1.98162e+11 0
1.86121e+09 -1.98132e+11 0
1.89125e+09 -1.98102e+11 0
1.92129e+09 -1.98071e+11 0
1.95133e+09 -1.98041e+11 0
1.98137e+09 -1.98011e+11 0
2.01141e+09 -1.97981e+11 0
2.04146e+09 -1.9795e+11 0
2.0715e+09 -1.9792e+11 0
2.10154e+09 -1.9789e+11 0
2.13159e+09 -1.97859e+11 0
2.16163e+09 -1.97829e+11 0
2.19168e+09 -1.97799e+11 0
2.22172e+09 -1.97768e+11 0
2.25177e+09 -1.97738e+11 0
2.28181e+09 -1.97708e+11 0
2.31186e+09 -1.97677e+11 0
2.34191e+09 -1.97647e+11 0
2.37196e+09 -1.97617e+11 0
2.40201e+09 -1.97586e+11 0
2.43206e+09 -1.97556e+11 0
2.46211e+09 -1.97526e+11 0
2.49216e+09 -1.97495e+11 0
2.52221e+09 -1.97465e+11 0
2.55226e+09 -1.97435e+11 0
2.58232e+09 -1.97404e+11 0
2.61237e+09 -1.97374e+11 0
2.64243e+09 -1.97344e+11 0
2.67248e+09 -1.97313e+11 0
2.70254e+09 -1.97283e+11 0
2.73259e+09 -1.97252e+11 0
2.76265e+09 -1.97222e+11 0
2.7927e+09 -1.97192e+11 0
2.82276e+09 -1.97161e+11 0
2.85282e+09 -1.97131e+11 0
2.88288e+09 -1.97101e+11 0
2.91294e+09 -1.9707e+11 0
2.943e+09 -1.9704e+11 0
2.97306e+09 -1.97009e+11 0
3.00312e+09 -1.96979e+11 0
3.03318e+09 -1.96948e+11 0
3.06325e+09 -1.96918e+11 0
3.09331e+09 -1.96888e+11 0
3.12337e+09 -1.96857e+11 0
3.15344e+09 -1.96827e+11 0
3.1835e+09 -1.96796e+11 0
3.21357e+09 -1.96766e+11 0
3.24363e+09 -1.96735e+11 0
3.2737e+09 -1.96705e+11 0
3.30377e+09 -1.96674e+11 0
3.33383e+09 -1.96644e+11 0
3.3639e+09 -1.96613e+11 0
3.39397e+09 -1.96583e+11 0
3.42404e+09 -1.96552e+11 0
3.45411e+09 -1.96522e+11 0
3.48418e+09 -1.96491e+11 0
3.51425e+09 -1.96461e+11 0
3.54432e+09 -1.9643e+11 0
3.5744e+09 -1.964e+11 0
3.60447e+09 -1.96369e+11 0
3.63454e+09 -1.96339e+11 0
3.66462e+09 -1.96308e+11 0
3.69469e+09 -1.96278e+11 0
3.72477e+09 -1.96247e+11 0
3.75484e+09 -1.96217e+11 0
3.78492e+09 -1.96186e+11 0
3.815e+09 -1.96156e+11 0
3.84507e+09 -1.96125e+11 0
3.87515e+09 -1.96095e+11 0
3.90523e+09 -1.96064e+11 0
3.93531e+09 -1.96034e+11 0
3.96539e+09 -1.96003e+11 0
3.99547e+09 -1.95972e+11 0
4.02555e+09 -1.95942e+11 0
4.05563e+09 -1.95911e+11 0
4.08572e+09 -1.95881e+11 0
4.1158e+09 -1.9585e+11 0
4.14588e+09 -1.9582e+11 0
4.17597e+09 -1.95789e+11 0
4.20605e+09 -1.95758e+11 0
4.23614e+09 -1.95728e+11 0
4.26622e+09 -1.95697e+11 0
4.29631e+09 -1.95667e+11 0
4.32639e+09 -1.95636e+11 0
4.35648e+09 -1.95605e+11 0
4.38657e+09 -1.95575e+11 0
4.41666e+09 -1.95544e+11 0
4.44675e+09 -1.95513e+11 0
4.47684e+09 -1.95483e+11 0
4.50693e+09 -1.95452e+11 0
4.53702e+09 -1.95422e+11 0
4.56711e+09 -1.95391e+11 0
4.5972e+09 -1.9536e+11 0
4.62729e+09 -1.9533e+11 0
4.65739e+09 -1.95299e+11 0
4.68748e+09 -1.95268e+11 0
4.71757e+09 -1.95238e+11 0
4.74767e+09 -1.95207e+11 0
4.77776e+09 -1.95176e+11 0
4.80786e+09 -1.95146e+11 0
4.83795e+09 -1.95115e+11 0
4.86805e+09 -1.95084e+11 0
4.89815e+09 -1.95053e+11 0
4.92825e+09 -1.95023e+11 0
4.95834e+09 -1.94992e+11 0
4.98844e+09 -1.94961e+11 0
5.01854e+09 -1.94931e+11 0
5.04864e+09 -1.949e+11 0
5.07874e+09 -1.94869e+11 0
5.10885e+09 -1.94838e+11 0
5.13895e+09 -1.94808e+11 0
5.16905e+09 -1.94777e+11 0
5.19915e+09 -1.94746e+11 0
5.22926e+09 -1.94716e+11 0
5.25936e+09 -1.94685e+11 0
5.28946e+09 -1.94654e+11 0
5.31957e+09 -1.94623e+11 0
5.34968e+09 -1.94592e+11 0
5.37978e+09 -1.94562e+11 0
5.40989e+09 -1.94531e+11 0
5.44e+09 -1.945e+11 0
5.4701e+09 -1.94469e+11 0
5.50021e+09 -1.94439e+11 0
5.53032e+09 -1.94408e+11 0
5.56043e+09 -1.94377e+11 0
5.59054e+09 -1.94346e+11 0
5.62065e+09 -1.94315e+11 0
5.65076e+09 -1.94285e+11 0
5.68087e+09 -1.94254e+11 0
5.71099e+09 -1.94223e+11 0
5.7411e+09 -1.94192e+11 0
5.77121e+09 -1.94161e+11 0
