X Y Z
0 -2e+11 0
1.00003e+07 -1.9999e+11 0
2.00013e+07 -1.9998e+11 0
3.00029e+07 -1.9997e+11 0
4.00051e+07 -1.9996e+11 0
5.0008e+07 -1.9995e+11 0
6.00115e+07 -1.9994e+11 0
7.00157e+07 -1.9993e+11 0
8.00205e+07 -1.9992e+11 0
9.00259e+07 -1.9991e+11 0
1.00032e+08 -1.999e+11 0
1.10039e+08 -1.9989e+11 0
1.20046e+08 -1.9988e+11 0
1.30054e+08 -1.9987e+11 0
1.40063e+08 -1.9986e+11 0
1.50072e+08 -1.9985e+11 0
1.60082e+08 -1.99839e+11 0
1.70092e+08 -1.99829e+11 0
1.80104e+08 -1.99819e+11 0
1.90115e+08 -1.99809e+11 0
2.00128e+08 -1.99799e+11 0
2.10141e+08 -1.99789e+11 0
2.20155e+08 -1.99779e+11 0
2.30169e+08 -1.99769e+11 0
2.40184e+08 -1.99759e+11 0
2.502e+08 -1.99749e+11 0
2.60216e+08 -1.99739e+11 0
2.70233e+08 -1.99728e+11 0
2.8025e+08 -1.99718e+11 0
2.90268e+08 -1.99708e+11 0
3.00287e+08 -1.99698e+11 0
3.10307e+08 -1.99688e+11 0
3.20327e+08 -1.99678e+11 0
3.30347e+08 -1.99668e+11 0
3.40369e+08 -1.99658e+11 0
3.5039e+08 -1.99647e+11 0
3.60413e+08 -1.99637e+11 0
3.70436e+08 -1.99627e+11 0
3.8046e+08 -1.99617e+11 0
3.90485e+08 -1.99607e+11 0
4.0051e+08 -1.99597e+11 0
4.10535e+08 -1.99586e+11 0
4.20562e+08 -1.99576e+11 0
4.30589e+08 -1.99566e+11 0
4.40616e+08 -1.99556e+11 0
4.50645e+08 -1.99546e+11 0
4.60673e+08 -1.99536e+11 0
4.70703e+08 -1.99525e+11 0
4.80733e+08 -1.99515e+11 0
4.90764e+08 -1.99505e+11 0
5.00795e+08 -1.99495e+11 0
5.10827e+08 -1.99485e+11 0
5.2086e+08 -1.99474e+11 0
5.30893e+08 -1.99464e+11 0
5.40927e+08 -1.99454e+11 0
5.50961e+08 -1.99444e+11 0
5.60996e+08 -1.99433e+11 0
5.71032e+08 -1.99423e+11 0
5.81069e+08 -1.99413e+11 0
5.91106e+08 -1.99403e+11 0
6.01143e+08 -1.99392e+11 0
6.11181e+08 -1.99382e+11 0
6.2122e+08 -1.99372e+11 0
