X Y Z
0 1.5e+11 0
-9.99948e+06 1.4999e+11 0
-1.99979e+07 1.4998e+11 0
-2.99953e+07 1.4997e+11 0
-3.99916e+07 1.4996e+11 0
-4.99869e+07 1.4995e+11 0
-5.99811e+07 1.4994e+11 0
-6.99743e+07 1.4993e+11 0
-7.99664e+07 1.4992e+11 0
-8.99574e+07 1.4991e+11 0
-9.99475e+07 1.499e+11 0
-1.09936e+08 1.4989e+11 0
-1.19924e+08 1.49879e+11 0
-1.29911e+08 1.49869e+11 0
-1.39897e+08 1.49859e+11 0
-1.49882e+08 1.49849e+11 0
-1.59865e+08 1.49839e+11 0
-1.69848e+08 1.49829e+11 0
-1.79829e+08 1.49819e+11 0
-1.8981e+08 1.49809e+11 0
-1.99789e+08 1.49799e+11 0
-2.09768e+08 1.49788e+11 0
-2.19745e+08 1.49778e+11 0
-2.29721e+08 1.49768e+11 0
-2.39696e+08 1.49758e+11 0
-2.4967e+08 1.49748e+11 0
-2.59643e+08 1.49738e+11 0
-2.69615e+08 1.49727e+11 0
-2.79586e+08 1.49717e+11 0
-2.89556e+08 1.49707e+11 0
-2.99525e+08 1.49697e+11 0
-3.09492e+08 1.49687e+11 0
-3.19459e+08 1.49676e+11 0
-3.29424e+08 1.49666e+11 0
-3.39389e+08 1.49656e+11 0
-3.49352e+08 1.49646e+11 0
-3.59315e+08 1.49635e+11 0
-3.69276e+08 1.49625e+11 0
-3.79236e+08 1.49615e+11 0
-3.89195e+08 1.49605e+11 0
-3.99153e+08 1.49594e+11 0
-4.0911e+08 1.49584e+11 0
-4.19066e+08 1.49574e+11 0
-4.2902e+08 1.49564e+11 0
-4.38974e+08 1.49553e+11 0
-4.48927e+08 1.49543e+11 0
-4.58878e+08 1.49533e+11 0
-4.68829e+08 1.49522e+11 0
-4.78778e+08 1.49512e+11 0
-4.88726e+08 1.49502e+11 0
-4.98673e+08 1.49491e+11 0
-5.08619e+08 1.49481e+11 0
-5.18564e+08 1.49471e+11 0
-5.28508e+08 1.4946e+11 0
-5.38451e+08 1.4945e+11 0
-5.48393e+08 1.49439e+11 0
-5.58333e+08 1.49429e+11 0
-5.68273e+08 1.49419e+11 0
-5.78211e+08 1.49408e+11 0
-5.88148e+08 1.49398e+11 0
-5.98085e+08 1.49387e+11 0
-6.0802e+08 1.49377e+11 0
-6.17954e+08 1.49367e+11 0
-6.27887e+08 1.49356e+11 0
-6.37819e+08 1.49346e+11 0
-6.47749e+08 1.49335e+11 0
-6.57679e+08 1.49325e+11 0
-6.67608e+08 1.49314e+11 0
-6.77535e+08 1.49304e+11 0
-6.87461e+08 1.49293e+11 0
-6.97387e+08 1.49283e+11 0
-7.07311e+08 1.49272e+11 0
-7.17234e+08 1.49262e+11 0
-7.27156e+08 1.49251e+11 0
-7.37076e+08 1.49241e+11 0
-7.46996e+08 1.4923e+11 0
-7.56915e+08 1.4922e+11 0
-7.66832e+08 1.49209e+11 0
-7.76749e+08 1.49199e+11 0
-7.86664e+08 1.49188e+11 0
-7.96578e+08 1.49178e+11 0
-8.06491e+08 1.49167e+11 0
-8.16403e+08 1.49156e+11 0
-8.26314e+08 1.49146e+11 0
-8.36224e+08 1.49135e+11 0
-8.46132e+08 1.49125e+11 0
-8.5604e+08 1.49114e+11 0
-8.65946e+08 1.49103e+11 0
-8.75851e+08 1.49093e+11 0
-8.85755e+08 1.49082e+11 0
-8.95658e+08 1.49072e+11 0
-9.0556e+08 1.49061e+11 0
-9.15461e+08 1.4905e+11 0
-9.25361e+08 1.4904e+11 0
-9.35259e+08 1.49029e+11 0
-9.45157e+08 1.49018e+11 0
-9.55053e+08 1.49008e+11 0
-9.64948e+08 1.48997e+11 0
-9.74842e+08 1.48986e+11 0
-9.84735e+08 1.48976e+11 0
-9.94627e+08 1.48965e+11 0
-1.00452e+09 1.48954e+11 0
-1.01441e+09 1.48944e+11 0
-1.0243e+09 1.48933e+11 0
-1.03418e+09 1.48922e+11 0
-1.04407e+09 1.48911e+11 0
-1.05395e+09 1.48901e+11 0
-1.06384e+09 1.4889e+11 0
-1.07372e+09 1.48879e+11 0
-1.0836e+09 1.48868e+11 0
-1.09348e+09 1.48858e+11 0
-1.10336e+09 1.48847e+11 0
-1.11324e+09 1.48836e+11 0
-1.12312e+09 1.48825e+11 0
-1.13299e+09 1.48814e+11 0
-1.14287e+09 1.48804e+11 0
-1.15274e+09 1.48793e+11 0
-1.16261e+09 1.48782e+11 0
-1.17248e+09 1.48771e+11 0
-1.18235e+09 1.4876e+11 0
-1.19222e+09 1.48749e+11 0
-1.20209e+09 1.48739e+11 0
-1.21196e+09 1.48728e+11 0
-1.22182e+09 1.48717e+11 0
-1.23169e+09 1.48706e+11 0
-1.24155e+09 1.48695e+11 0
-1.25141e+09 1.48684e+11 0
-1.26127e+09 1.48673e+11 0
-1.27113e+09 1.48663e+11 0
-1.28099e+09 1.48652e+11 0
-1.29085e+09 1.48641e+11 0
-1.30071e+09 1.4863e+11 0
-1.31056e+09 1.48619e+11 0
-1.32042e+09 1.48608e+11 0
-1.33027e+09 1.48597e+11 0
-1.34012e+09 1.48586e+11 0
-1.34997e+09 1.48575e+11 0
-1.35982e+09 1.48564e+11 0
-1.36967e+09 1.48553e+11 0
-1.37952e+09 1.48542e+11 0
-1.38936e+09 1.48531e+11 0
-1.39921e+09 1.4852e+11 0
-1.40905e+09 1.48509e+11 0
-1.41889e+09 1.48498e+11 0
-1.42874e+09 1.48487e+11 0
-1.43858e+09 1.48476e+11 0
-1.44841e+09 1.48465e+11 0
-1.45825e+09 1.48454e+11 0
-1.46809e+09 1.48443e+11 0
-1.47792e+09 1.48432e+11 0
-1.48776e+09 1.48421e+11 0
-1.49759e+09 1.4841e+11 0
-1.50742e+09 1.48399e+11 0
-1.51725e+09 1.48388e+11 0
-1.52708e+09 1.48377e+11 0
-1.53691e+09 1.48366e+11 0
-1.54674e+09 1.48355e+11 0
-1.55657e+09 1.48343e+11 0
-1.56639e+09 1.48332e+11 0
-1.57621e+09 1.48321e+11 0
-1.58604e+09 1.4831e+11 0
-1.59586e+09 1.48299e+11 0
-1.60568e+09 1.48288e+11 0
-1.6155e+09 1.48277e+11 0
-1.62532e+09 1.48265e+11 0
-1.63513e+09 1.48254e+11 0
-1.64495e+09 1.48243e+11 0
-1.65476e+09 1.48232e+11 0
-1.66458e+09 1.48221e+11 0
-1.67439e+09 1.4821e+11 0
-1.6842e+09 1.48198e+11 0
-1.69401e+09 1.48187e+11 0
-1.70382e+09 1.48176e+11 0
-1.71362e+09 1.48165e+11 0
-1.72343e+09 1.48154e+11 0
-1.73323e+09 1.48142e+11 0
-1.74304e+09 1.48131e+11 0
-1.75284e+09 1.4812e+11 0
-1.76264e+09 1.48109e+11 0
-1.77244e+09 1.48097e+11 0
-1.78224e+09 1.48086e+11 0
-1.79204e+09 1.48075e+11 0
-1.80183e+09 1.48064e+11 0
-1.81163e+09 1.48052e+11 0
-1.82142e+09 1.48041e+11 0
-1.83122e+09 1.4803e+11 0
-1.84101e+09 1.48018e+11 0
-1.8508e+09 1.48007e+11 0
-1.86059e+09 1.47996e+11 0
-1.87038e+09 1.47984e+11 0
-1.88016e+09 1.47973e+11 0
-1.88995e+09 1.47962e+11 0
-1.89973e+09 1.4795e+11 0
-1.90952e+09 1.47939e+11 0
-1.9193e+09 1.47928e+11 0
-1.92908e+09 1.47916e+11 0
-1.93886e+09 1.47905e+11 0
-1.94864e+09 1.47893e+11 0
-1.95841e+09 1.47882e+11 0
-1.96819e+09 1.47871e+11 0
-1.97797e+09 1.47859e+11 0
-1.98774e+09 1.47848e+11 0
-1.99751e+09 1.47836e+11 0
-2.00728e+09 1.47825e+11 0
-2.01705e+09 1.47814e+11 0
-2.02682e+09 1.47802e+11 0
-2.03659e+09 1.47791e+11 0
-2.04635e+09 1.47779e+11 0
-2.05612e+09 1.47768e+11 0
-2.06588e+09 1.47756e+11 0
-2.07565e+09 1.47745e+11 0
-2.08541e+09 1.47733e+11 0
-2.09517e+09 1.47722e+11 0
-2.10493e+09 1.4771e+11 0
-2.11468e+09 1.47699e+11 0
-2.12444e+09 1.47687e+11 0
-2.1342e+09 1.47676e+11 0
-2.14395e+09 1.47664e+11 0
-2.1537e+09 1.47653e+11 0
-2.16345e+09 1.47641e+11 0
